iter	Passed	Remaining
827	2153	447
828	2156	444
829	2158	442
830	2160	439
831	2162	436
832	2165	434
833	2168	431
834	2170	428
835	2173	426
836	2175	423
837	2177	421
838	2180	418
839	2182	415
840	2185	413
841	2187	410
842	2190	407
843	2192	405
844	2195	402
845	2197	400
846	2200	397
847	2202	394
848	2206	392
849	2208	389
850	2211	387
851	2214	384
852	2217	382
853	2220	379
854	2222	376
855	2227	374
856	2230	372
857	2232	369
858	2235	366
859	2238	364
860	2241	361
861	2244	359
862	2246	356
863	2249	354
864	2251	351
865	2254	348
866	2256	346
867	2259	343
868	2261	340
869	2264	338
870	2266	335
871	2268	333
872	2271	330
873	2274	327
874	2276	325
875	2279	322
876	2281	319
877	2283	317
878	2286	314
879	2289	312
880	2291	309
881	2293	306
882	2296	304
883	2298	301
884	2301	299
885	2303	296
886	2305	293
887	2308	291
888	2310	288
889	2313	285
890	2315	283
891	2317	280
892	2320	278
893	2322	275
894	2325	272
895	2327	270
896	2330	267
897	2332	264
898	2335	262
899	2337	259
900	2339	257
901	2342	254
902	2344	251
903	2347	249
904	2349	246
905	2351	243
906	2354	241
907	2356	238
908	2358	236
909	2361	233
910	2364	230
911	2366	228
912	2368	225
913	2371	223
914	2373	220
915	2375	217
916	2378	215
917	2381	212
918	2383	210
919	2385	207
920	2388	204
921	2390	202
922	2393	199
923	2395	197
924	2397	194
925	2400	191
926	2403	189
927	2405	186
928	2408	184
929	2410	181
930	2412	178
931	2415	176
932	2417	173
933	2420	171
934	2422	168
935	2425	165
936	2427	163
937	2430	160
938	2433	158
939	2435	155
940	2437	152
941	2440	150
942	2442	147
943	2445	145
944	2448	142
945	2450	139
946	2453	137
947	2455	134
948	2457	132
949	2460	129
950	2462	126
951	2465	124
952	2467	121
953	2469	119
954	2472	116
955	2474	113
956	2477	111
957	2479	108
958	2482	106
959	2484	103
960	2486	100
961	2489	98
962	2491	95
963	2494	93
964	2496	90
965	2498	87
966	2501	85
967	2503	82
968	2506	80
969	2508	77
970	2511	75
971	2513	72
972	2516	69
973	2518	67
974	2520	64
975	2523	62
976	2525	59
977	2528	56
978	2531	54
979	2533	51
980	2535	49
981	2538	46
982	2540	43
983	2542	41
984	2545	38
985	2547	36
986	2550	33
987	2552	31
988	2554	28
989	2557	25
990	2559	23
991	2561	20
992	2564	18
993	2566	15
994	2568	12
995	2571	10
996	2573	7
997	2576	5
998	2578	2
999	2581	0
